nb,Exp type,Seed,nb_cam,nb_ground,nb_light,obj
0,flexibility,22541,7,7,7,10
1,flexibility,75275,7,7,7,6
2,flexibility,39601,7,7,7,8
3,flexibility,89826,7,7,7,8
4,flexibility,30337,7,7,7,7
5,flexibility,12662,7,7,7,8
6,flexibility,86496,7,7,7,8
7,flexibility,27805,7,7,7,10
8,flexibility,30123,7,7,7,10
9,flexibility,54189,7,7,7,6
0,flexibility,33989,11,5,5,10
1,flexibility,72542,11,5,5,12
2,flexibility,40657,11,5,5,11
3,flexibility,78625,11,5,5,14
4,flexibility,28466,11,5,5,8
5,flexibility,31072,11,5,5,15
6,flexibility,45314,11,5,5,15
7,flexibility,17696,11,5,5,12
8,flexibility,79646,11,5,5,8
9,flexibility,94469,11,5,5,9
0,flexibility,15946,6,10,5,7
1,flexibility,83607,6,10,5,9
2,flexibility,62245,6,10,5,9
3,flexibility,57789,6,10,5,10
4,flexibility,52536,6,10,5,8
5,flexibility,34128,6,10,5,6
6,flexibility,93437,6,10,5,7
7,flexibility,17952,6,10,5,8
8,flexibility,21757,6,10,5,5
9,flexibility,8509,6,10,5,5
0,flexibility,21716,6,5,10,10
1,flexibility,27901,6,5,10,7
2,flexibility,15945,6,5,10,7
3,flexibility,72616,6,5,10,8
4,flexibility,66602,6,5,10,11
5,flexibility,70518,6,5,10,5
6,flexibility,58330,6,5,10,13
7,flexibility,46935,6,5,10,7
8,flexibility,49195,6,5,10,4
9,flexibility,97047,6,5,10,6
0,flexibility,11271,13,4,4,12
1,flexibility,55126,13,4,4,10
2,flexibility,99999,13,4,4,12
3,flexibility,90991,13,4,4,10
4,flexibility,29385,13,4,4,15
5,flexibility,17305,13,4,4,10
6,flexibility,12911,13,4,4,9
7,flexibility,55568,13,4,4,10
8,flexibility,9534,13,4,4,9
9,flexibility,15071,13,4,4,9
0,flexibility,12591,11,7,3,12
1,flexibility,94585,11,7,3,13
2,flexibility,90460,11,7,3,6
3,flexibility,36351,11,7,3,14
4,flexibility,19979,11,7,3,10
5,flexibility,55176,11,7,3,13
6,flexibility,12011,11,7,3,8
7,flexibility,84147,11,7,3,10
8,flexibility,63922,11,7,3,10
9,flexibility,87824,11,7,3,12
0,flexibility,94927,11,3,7,12
1,flexibility,50041,11,3,7,13
2,flexibility,80131,11,3,7,10
3,flexibility,5977,11,3,7,9
4,flexibility,6652,11,3,7,10
5,flexibility,96682,11,3,7,12
6,flexibility,48093,11,3,7,10
7,flexibility,34493,11,3,7,7
8,flexibility,40488,11,3,7,11
9,flexibility,63470,11,3,7,10
0,flexibility,22498,9,6,6,9
1,flexibility,9807,9,6,6,12
2,flexibility,30676,9,6,6,10
3,flexibility,38938,9,6,6,6
4,flexibility,59457,9,6,6,11
5,flexibility,94431,9,6,6,10
6,flexibility,55395,9,6,6,14
7,flexibility,42338,9,6,6,8
8,flexibility,71570,9,6,6,10
9,flexibility,91028,9,6,6,9
