Exp type,Seed,nb_cam,nb_ground,nb_light,obj
1,scalability,69820,4,1,0,10
1,scalability,50565,4,1,0,7
1,scalability,99145,4,1,0,5
1,scalability,7400,4,1,0,8
1,scalability,22237,4,1,0,9
1,scalability,25455,4,1,0,8
1,scalability,25815,4,1,0,7
1,scalability,85742,4,1,0,4
1,scalability,55311,4,1,0,8
1,scalability,35608,4,1,0,8
2,scalability,27051,6,3,1,9
2,scalability,84613,6,3,1,5
2,scalability,81330,6,3,1,5
2,scalability,22128,6,3,1,9
2,scalability,62946,6,3,1,8
2,scalability,49107,6,3,1,11
2,scalability,72421,6,3,1,12
2,scalability,6107,6,3,1,7
2,scalability,87673,6,3,1,6
2,scalability,35949,6,3,1,10
3,scalability,88508,8,5,2,8
3,scalability,85643,8,5,2,8
3,scalability,34320,8,5,2,7
3,scalability,37454,8,5,2,8
3,scalability,28899,8,5,2,10
3,scalability,54591,8,5,2,8
3,scalability,3518,8,5,2,11
3,scalability,26784,8,5,2,9
3,scalability,46252,8,5,2,10
3,scalability,78351,8,5,2,7
4,scalability,1244,11,6,3,8
4,scalability,56498,11,6,3,10
4,scalability,60731,11,6,3,6
4,scalability,68988,11,6,3,12
4,scalability,26456,11,6,3,9
4,scalability,23735,11,6,3,11
4,scalability,88717,11,6,3,14
4,scalability,43772,11,6,3,9
4,scalability,11118,11,6,3,11
4,scalability,50048,11,6,3,13
5,scalability,61172,13,8,4,8
5,scalability,61012,13,8,4,8
5,scalability,10287,13,8,4,5
5,scalability,21917,13,8,4,9
5,scalability,86848,13,8,4,11
5,scalability,27194,13,8,4,15
5,scalability,67537,13,8,4,9
5,scalability,46509,13,8,4,8
5,scalability,91291,13,8,4,8
5,scalability,31399,13,8,4,13
6,scalability,55534,15,10,5,7
6,scalability,62094,15,10,5,12
6,scalability,33219,15,10,5,10
6,scalability,95539,15,10,5,11
6,scalability,42473,15,10,5,5
6,scalability,44380,15,10,5,15
6,scalability,49362,15,10,5,8
6,scalability,40108,15,10,5,10
6,scalability,67665,15,10,5,10
6,scalability,27337,15,10,5,6
7,scalability,54898,19,11,5,7
7,scalability,88396,19,11,5,12
7,scalability,21408,19,11,5,6
7,scalability,77419,19,11,5,11
7,scalability,51046,19,11,5,11
7,scalability,34769,19,11,5,12
7,scalability,48003,19,11,5,8
7,scalability,58076,19,11,5,14
7,scalability,8949,19,11,5,9
7,scalability,11758,19,11,5,7
8,scalability,57700,21,13,6,9
8,scalability,40064,21,13,6,9
8,scalability,36073,21,13,6,10
8,scalability,54836,21,13,6,8
8,scalability,79203,21,13,6,6
8,scalability,74661,21,13,6,7
8,scalability,50668,21,13,6,4
8,scalability,3864,21,13,6,12
8,scalability,2340,21,13,6,9
8,scalability,10549,21,13,6,8
9,scalability,67888,23,15,7,7
9,scalability,99421,23,15,7,7
9,scalability,55849,23,15,7,6
9,scalability,36672,23,15,7,7
9,scalability,28955,23,15,7,7
9,scalability,89077,23,15,7,8
9,scalability,56165,23,15,7,10
9,scalability,84684,23,15,7,11
9,scalability,82945,23,15,7,9
9,scalability,49876,23,15,7,3
